trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
273,False,"{'a': 0.55, 'e': 0.06521928966812753}",25,3,0.32847013900224153,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
274,False,"{'a': 0.55, 'e': 0.06457034689316847}",30,13,-6.377742748142148,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
275,False,"{'a': 0.55, 'e': 0.06392786120670757}",20,10,17.152846458980857,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.55, 'e': 0.0632917683596407}",20,13,9.955363013758758,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.55, 'e': 0.06266200474215315}",25,13,-2.1517694708240955,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
278,False,"{'a': 0.55, 'e': 0.06203850737735829}",20,12,-28.961627185888357,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
279,False,"{'a': 0.55, 'e': 0.06142121391500013}",30,4,-145.5522880124301,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 3}",1
280,False,"{'a': 0.55, 'e': 0.06081006262521795}",25,19,9.771630277615873,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.55, 'e': 0.06020499239237354}",25,11,-61.53562998812574,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
282,False,"{'a': 0.55, 'e': 0.05960594270893937}",25,17,11.735151474307155,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.55, 'e': 0.05901285366944784}",25,10,-18.6878092305871,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
284,False,"{'a': 0.55, 'e': 0.05842566596450083}",25,8,-112.45962492389243,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 3}",1
285,False,"{'a': 0.55, 'e': 0.057844320874838456}",25,10,-111.88064985844882,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 3}",1
